DIRECCION_COMPLETA 1,DIRECCION1,URI,NUMBER,COD_DISTRITO,DISTRITO,LATITUD,LONGITUD,DÍA SEMANA,HORA INICIO,HORA FINAL
Calle  Trompas,Trompas,PVMTrompas15,15,10,LATINA,40.37142604,-3.7656181,MIÉRCOLES,7:00,8:30
Avenida  Institución Libre de Enseñanza,Institución Libre de Enseñanza,PVMInstituciónLibredeEnseñanza1,1,20,SAN BLAS-CANILLEJAS,40.43772165,-3.637609719,MIÉRCOLES,7:00,8:30
Calle  Joaquín Turina,Joaquín Turina,PVMJoaquínTurina62,62,11,CARABANCHEL,40.37223546,-3.758420175,MIÉRCOLES,7:00,8:30
Paseo  Alberto Palacios,Alberto Palacios,PVMAlbertoPalacios1,1,17,VILLAVERDE,40.34647541,-3.709357091,MIÉRCOLES,7:00,8:30
Avenida  Valdemarín,Valdemarín,PVMValdemarín71,71,9,MONCLOA-ARAVACA,40.47011006,-3.778391577,MIÉRCOLES,8:45,10:15
Calle  Castillo de Uclés,Castillo de Uclés,PVMCastillodeUclés1,1,20,SAN BLAS-CANILLEJAS,40.43015635,-3.623234722,MIÉRCOLES,8:45,10:15
Calle  Guareña,Guareña,PVMGuareña,,10,LATINA,40.38522206,-3.764791741,MIÉRCOLES,8:45,10:15
Plaza  de los Navarros,de los Navarros,PVMdelosNavarros,,11,CARABANCHEL,40.37425336,-3.742139687,MIÉRCOLES,8:45,10:15
Paseo  Alberto Palacios,Alberto Palacios,PVMAlbertoPalacios76,76,17,VILLAVERDE,40.34368355,-3.715528398,MIÉRCOLES,8:45,10:15
Calle  Godella,Godella,PVMGodella116,116,17,VILLAVERDE,40.340762,-3.688466,MIÉRCOLES,10:30,12:00
Calle  Illescas,Illescas,PVMIllescas117,117,10,LATINA,40.39350783,-3.761277537,MIÉRCOLES,10:30,12:00
Calle  Lope de Haro,Lope de Haro,PVMLopedeHaro36,36,6,TETUAN,40.45674114,-3.704672112,MIÉRCOLES,10:30,12:00
Calle  Toboso,Toboso,PVMToboso134,134,11,CARABANCHEL,40.39348348,-3.736663419,MIÉRCOLES,10:30,12:00
Calle  Antonio López,Antonio López,PVMAntonioLópez88,88,11,CARABANCHEL,40.39382375,-3.707727615,MIÉRCOLES,12:15,13:45
Calle  Berrocal,Berrocal,PVMBerrocal14,14,17,VILLAVERDE,40.34739104,-3.677737378,MIÉRCOLES,12:15,13:45
Calle  Cardaño,Cardaño,PVMCardaño8,8,10,LATINA,40.39655217,-3.770445426,MIÉRCOLES,12:15,13:45
Calle  Marqués de Urquijo,Marqués de Urquijo,PVMMarquésdeUrquijo2,2,9,MONCLOA-ARAVACA,40.43060674,-3.716657855,MIÉRCOLES,12:15,13:45
Calle  Casalarreina,Casalarreina,PVMCasalarreina3,3,19,VICALVARO,40.409418,-3.610567255,MIÉRCOLES,14:00,15:30
Calle  Ciudadania,Ciudadania,PVMCiudadania6,6,17,VILLAVERDE,40.35647756,-3.692286994,MIÉRCOLES,14:00,15:30
Calle  Francos Rodríguez,Francos Rodríguez,PVMFrancosRodríguez102,102,9,MONCLOA-ARAVACA,40.45790876,-3.712783422,MIÉRCOLES,14:00,15:30
Calle  Nuria,Nuria,PVMNuria59,59,8,FUENCARRAL,40.49339779,-3.707919056,MIÉRCOLES,14:00,15:30
Calle  San Braulio,San Braulio,PVMSanBraulio3,3,11,CARABANCHEL,40.39156704,-3.724995152,MIÉRCOLES,14:00,15:30
Calle  Tembleque,Tembleque,PVMTembleque64,64,10,LATINA,40.39518922,-3.760300561,MIÉRCOLES,14:00,15:30
Calle  Alhambra,Alhambra,PVMAlhambra30,30,10,LATINA,40.40088914,-3.744586083,MIÉRCOLES,15:45,17:15
Avenida  Monasterio de Silos,Monasterio de Silos,PVMMonasteriodeSilos85,85,8,FUENCARRAL,40.50978743,-3.691979444,MIÉRCOLES,15:45,17:15
Calle  Tertulia,Tertulia,PVMTertulia,,17,VILLAVERDE,40.36226806,-3.693017119,MIÉRCOLES,15:45,17:15
Calle  Villardondiego,Villardondiego,PVMVillardondiego39-41,39-41,19,VICALVARO,40.40445729,-3.60804054,MIÉRCOLES,15:45,17:15
Calle  Aviador Zorita,Aviador Zorita,PVMAviadorZorita42,42,6,TETUAN,40.45114155,-3.69802484,MIÉRCOLES,17:30,19:00
Calle  Estella,Estella,PVMEstella21,21,8,FUENCARRAL,40.49712684,-3.674421941,MIÉRCOLES,17:30,19:00
Calle  Eugenia de Montijo,Eugenia de Montijo,PVMEugeniadeMontijo76,76,11,CARABANCHEL,40.37913785,-3.747337904,MIÉRCOLES,17:30,19:00
Calle  Higueras,Higueras,PVMHigueras45,45,10,LATINA,40.40532577,-3.745103375,MIÉRCOLES,17:30,19:00
Calle  La del Manojo de Rosas,La del Manojo de Rosas,PVMLadelManojodeRosas14,14,17,VILLAVERDE,40.35988379,-3.697565708,MIÉRCOLES,17:30,19:00
Calle  Golondrina,Golondrina,PVMGolondrina234,234,9,MONCLOA-ARAVACA,40.44751121,-3.785085494,MIÉRCOLES,17:30,19:00
Calle  Minerva,Minerva,PVMMinerva7,7,19,VICALVARO,40.40383525,-3.598022415,MIÉRCOLES,17:30,19:00
Avenida  Santo Domingo de la Calzada,Santo Domingo de la Calzada,PVMSantoDomingodelaCalzada27,27,8,FUENCARRAL,40.50708261,-3.669166507,MIÉRCOLES,19:15,20:45
Calle  Abad Juan Catalán,Abad Juan Catalán,PVMAbadJuanCatalán52-56,52-56,19,VICALVARO,40.40648092,-3.592453479,MIÉRCOLES,19:15,20:45
Calle  Caramuel,Caramuel,PVMCaramuel6,6,10,LATINA,40.41311972,-3.727129825,MIÉRCOLES,19:15,20:45
Calle  Mutual,Mutual,PVMMutual2,2,11,CARABANCHEL,40.36346589,-3.747378466,MIÉRCOLES,19:15,20:45
Calle  La del Manojo de Rosas,La del Manojo de Rosas,PVMLadelManojodeRosas95,95,17,VILLAVERDE,40.35313432,-3.698461892,MIÉRCOLES,19:15,20:45
Calle  Orense,Orense,PVMOrense9,9,6,TETUAN,40.44776383,-3.69555288,MIÉRCOLES,19:15,20:45
Calle  Virgen de los Rosales,Virgen de los Rosales,PVMVirgendelosRosales88,88,9,MONCLOA-ARAVACA,40.45358,-3.779036127,MIÉRCOLES,19:15,20:45
Avenida  Gran Vía del Suereste,Gran Vía del Suereste,PVMGranVíadelSuereste55,55,18,VILLA DE VALLECAS,40.35728524,-3.59317915,JUEVES,7:00,8:30
Calle  Santa Marta,Santa Marta,PVMSantaMarta15,15,13,PUENTE VALLECAS,40.40275803,-3.662025225,JUEVES,7:00,8:30
Paseo  Marqués de Zafra,Marqués de Zafra,PVMMarquésdeZafra32,32,4,SALAMANCA,40.42570533,-3.664329592,JUEVES,7:00,8:30
Avenida  Gran Vía del Suereste,Gran Vía del Suereste,PVMGranVíadelSuereste11,11,18,VILLA DE VALLECAS,40.36404321,-3.587633913,JUEVES,8:45,10:15
Calle  Goya,Goya,PVMGoya107,107,4,SALAMANCA,40.42480849,-3.673029266,JUEVES,8:45,10:15
Calle  Pergamino,Pergamino,PVMPergamino30,30,19,VICALVARO,40.39466194,-3.623704718,JUEVES,8:45,10:15
Camino  Valderribas,Camino  Valderribas,PVMCaminoValderribas99,99,13,PUENTE VALLECAS,40.40237793,-3.668196679,JUEVES,8:45,10:15
Avenida  Las Suertes,Las Suertes,PVMLasSuertes67,67,18,VILLA DE VALLECAS,40.36441415,-3.593433734,JUEVES,10:30,12:00
Calle  Cordel de Pavones,Cordel de Pavones,PVMCordeldePavones46,46,19,VICALVARO,40.39783703,-3.619708485,JUEVES,10:30,12:00
Calle  Moscatelar,Moscatelar,PVMMoscatelar35,35,16,HORTALEZA,40.45729245,-3.646516762,JUEVES,10:30,12:00
Calle  Narváez,Narváez,PVMNarváez44,44,4,SALAMANCA,40.41996042,-3.676307861,JUEVES,10:30,12:00
Calle  Ramírez Tomé,Ramírez Tomé,PVMRamírezTomé38,38,13,PUENTE VALLECAS,40.38878583,-3.646501324,JUEVES,10:30,12:00
Avenida  de Buenos Aires,de Buenos Aires,PVMdeBuenosAires99,99,13,PUENTE VALLECAS,40.37947003,-3.65273719,JUEVES,12:15,13:45
Bulevar  Indalecio Prieto,Bulevar  Indalecio Prieto,PVMBulevarIndalecioPrieto9,9,19,VICALVARO,40.40324833,-3.619895988,JUEVES,12:15,13:45
Calle  Embalse de Navacerrada,Embalse de Navacerrada,PVMEmbalsedeNavacerrada50,50,18,VILLA DE VALLECAS,40.36243065,-3.601593679,JUEVES,12:15,13:45
Calle  Silvano,Silvano,PVMSilvano97,97,16,HORTALEZA,40.46261384,-3.634768951,JUEVES,12:15,13:45
Calle  Velázquez,Velázquez,PVMVelázquez48,48,4,SALAMANCA,40.42687862,-3.68389872,JUEVES,12:15,13:45
Avenida  Guadalajara,Guadalajara,PVMGuadalajara,,20,SAN BLAS-CANILLEJAS,40.41929933,-3.621029333,JUEVES,14:00,15:30
Calle  Monleón,Monleón,PVMMonleón2,2,13,PUENTE VALLECAS,40.39240479,-3.655240189,JUEVES,14:00,15:30
Calle  Santa Hortensia,Santa Hortensia,PVMSantaHortensia2,2,5,CHAMARTIN,40.44595901,-3.670651482,JUEVES,14:00,15:30
Calle  Sierra Vieja,Sierra Vieja,PVMSierraVieja1,1,18,VILLA DE VALLECAS,40.37727079,-3.629576569,JUEVES,14:00,15:30
Calle  Velázquez,Velázquez,PVMVelázquez89,89,4,SALAMANCA,40.4340697,-3.683590638,JUEVES,14:00,15:30
Calle  Albericia,Albericia,PVMAlbericia,,20,SAN BLAS-CANILLEJAS,40.42447465,-3.615522535,JUEVES,15:45,17:15
Calle  Clara del Rey,Clara del Rey,PVMClaradelRey21,21,5,CHAMARTIN,40.4410825,-3.672100324,JUEVES,15:45,17:15
Calle  Francisco Silvela,Francisco Silvela,PVMFranciscoSilvela,,4,SALAMANCA,40.4302759,-3.670415455,JUEVES,15:45,17:15
Calle  Arroyo del Olivar,Arroyo del Olivar,PVMArroyodelOlivar18,18,13,PUENTE VALLECAS,40.39408233,-3.666178413,JUEVES,15:45,17:15
Calle  Playa de Zarauz,Playa de Zarauz,PVMPlayadeZarauz1,1,21,BARAJAS,40.47325425,-3.592435163,JUEVES,15:45,17:15
Paseo  Federico García Lorca,Federico García Lorca,PVMFedericoGarcíaLorca3,3,18,VILLA DE VALLECAS,40.37940569,-3.620995046,JUEVES,15:45,17:15
Avenida  Doctor García Tapia,Doctor García Tapia,PVMDoctorGarcíaTapia135,135,14,MORATALAZ,40.40915774,-3.63711767,JUEVES,17:30,19:00
Avenida  Gavia,Gavia,PVMGavia14,14,18,VILLA DE VALLECAS,40.37507331,-3.610482743,JUEVES,17:30,19:00
Avenida  Niza,Niza,PVMNiza25,25,20,SAN BLAS-CANILLEJAS,40.42792648,-3.606913356,JUEVES,17:30,19:00
Calle  Alcalá,Alcalá,PVMAlcalá237,237,4,SALAMANCA,40.43116732,-3.663950523,JUEVES,17:30,19:00
Calle  Bahia de Cádiz,Bahia de Cádiz,PVMBahiadeCádiz32,32,21,BARAJAS,40.46380544,-3.594330551,JUEVES,17:30,19:00
Calle  Javier de Miguel,Javier de Miguel,PVMJavierdeMiguel40,40,13,PUENTE VALLECAS,40.38756002,-3.660630692,JUEVES,17:30,19:00
Calle  Príncipe de Vergara,Príncipe de Vergara,PVMPríncipedeVergara142,142,5,CHAMARTIN,40.44464014,-3.678215136,JUEVES,17:30,19:00
Calle  Babilonia,Babilonia,PVMBabilonia33,33,21,BARAJAS,40.46747627,-3.584841288,JUEVES,19:15,20:45
Calle  Brescia,Brescia,PVMBrescia2,2,4,SALAMANCA,40.43649844,-3.664382838,JUEVES,19:15,20:45
Calle  Concha Espina,Concha Espina,PVMConchaEspina14,14,5,CHAMARTIN,40.45178134,-3.686915621,JUEVES,19:15,20:45
Calle  Fuente Carrantona,Fuente Carrantona,PVMFuenteCarrantona41,41,14,MORATALAZ,40.40832878,-3.631194585,JUEVES,19:15,20:45
Calle  Puentelarrá,Puentelarrá,PVMPuentelarrá13,13,18,VILLA DE VALLECAS,40.38246707,-3.609304279,JUEVES,19:15,20:45
Calle  Ruidera,Ruidera,PVMRuidera26,26,13,PUENTE VALLECAS,40.38027879,-3.675442596,JUEVES,19:15,20:45
Avenida  Fermina Sevillano,Fermina Sevillano,PVMFerminaSevillano26,26,20,SAN BLAS-CANILLEJAS,40.44483484,-3.56906922,VIERNES,7:00,8:30
Calle  Eugenia de Montijo,Eugenia de Montijo,PVMEugeniadeMontijo99,99,11,CARABANCHEL,40.37438754,-3.750942663,VIERNES,7:00,8:30
Calle  Gran Avenida,Gran,PVMGran31,31,12,USERA,40.36964168,-3.706191846,VIERNES,7:00,8:30
Calle  Hacienda de Pavones,Hacienda de Pavones,PVMHaciendadePavones220,220,14,MORATALAZ,40.40132224,-3.640043602,VIERNES,7:00,8:30
Calle  Rafael Finat,Rafael Finat,PVMRafaelFinat103,103,10,LATINA,40.37583416,-3.772503573,VIERNES,7:00,8:30
Calle  Valdebernardo,Valdebernardo,PVMValdebernardo45,45,14,MORATALAZ,40.40353147,-3.631848368,VIERNES,7:00,8:30
Avenida  Segunda,Segunda,PVMSegunda,,20,SAN BLAS-CANILLEJAS,40.44735399,-3.594355582,VIERNES,8:45,10:15
Calle  General Millan Astray,General Millan Astray,PVMGeneralMillanAstray20,20,10,LATINA,40.37841904,-3.767240468,VIERNES,8:45,10:15
Calle  Hacienda de Pavones,Hacienda de Pavones,PVMHaciendadePavones72,72,14,MORATALAZ,40.40345595,-3.646165909,VIERNES,8:45,10:15
Calle  Parque de la Paloma,Parque de la Paloma,PVMParquedelaPaloma32,32,12,USERA,40.37860534,-3.714641117,VIERNES,8:45,10:15
Calle  Encomienda de Palacios,Encomienda de Palacios,PVMEncomiendadePalacios360,360,14,MORATALAZ,40.39688953,-3.634478572,VIERNES,8:45,10:15
Avenida  Monasterio de Silos,Monasterio de Silos,PVMMonasteriodeSilos23,23,8,FUENCARRAL,40.5034714,-3.706355909,VIERNES,10:30,12:00
Avenida  Plaza de Toros,de Toros,PVMdeToros3,3,11,CARABANCHEL,40.38554646,-3.73753348,VIERNES,10:30,12:00
Calle  Antonio López,Antonio López,PVMAntonioLópez246-248,246-248,12,USERA,40.38190628,-3.695938392,VIERNES,10:30,12:00
Calle  Arturo Soria,Arturo Soria,PVMArturoSoria320,320,15,CIUDAD LINEAL,40.47826258,-3.668261241,VIERNES,10:30,12:00
Calle  Camino de Vinateros,Camino de Vinateros,PVMCaminodeVinateros108,108,14,MORATALAZ,40.40821598,-3.646939656,VIERNES,10:30,12:00
Calle  Amparo Usera,Amparo Usera,PVMAmparoUsera47,47,12,USERA,40.38687465,-3.706806586,VIERNES,12:15,13:45
Avenida  Oporto,Oporto,PVMOporto96,96,11,CARABANCHEL,40.38718499,-3.729555278,VIERNES,12:15,13:45
Calle  Torrelaguna,Torrelaguna,PVMTorrelaguna66,66,15,CIUDAD LINEAL,40.44877423,-3.657036057,VIERNES,12:15,13:45
Calle  Camino de Vinateros,Camino de Vinateros,PVMCaminodeVinateros63,63,14,MORATALAZ,40.41042488,-3.651935154,VIERNES,12:15,13:45
Calle  Antonio López,Antonio López,PVMAntonioLópez9,9,11,CARABANCHEL,40.39707843,-3.714113341,VIERNES,14:00,15:30
Calle  Berrocal,Berrocal,PVMBerrocal72,72,17,VILLAVERDE,40.34116319,-3.675264764,VIERNES,14:00,15:30
Calle  Camino de los Vinateros,Camino de los Vinateros,PVMCaminodelosVinateros10-12,10-12,14,MORATALAZ,40.41063083,-3.660460934,VIERNES,14:00,15:30
Calle  Duquesa de Parcent,Duquesa de Parcent,PVMDuquesadeParcent96,96,10,LATINA,40.39591401,-3.750286074,VIERNES,14:00,15:30
Calle  José del Hierro,José del Hierro,PVMJosédelHierro37,37,15,CIUDAD LINEAL,40.43991309,-3.64485179,VIERNES,14:00,15:30
Calle  Leopoldo Alas Clarín,Leopoldo Alas Clarín,PVMLeopoldoAlasClarín41,41,8,FUENCARRAL,40.48099503,-3.733183387,VIERNES,14:00,15:30
Avenida  Moratalaz,Moratalaz,PVMMoratalaz39,39,14,MORATALAZ,40.40754695,-3.658655805,VIERNES,15:45,17:15
Calle  Carmen de Burgos,Carmen de Burgos,PVMCarmendeBurgos4,4,17,VILLAVERDE,40.35742549,-3.684914537,VIERNES,15:45,17:15
Calle  Estafeta,Estafeta,PVMEstafeta20,20,12,USERA,40.37334237,-3.692472821,VIERNES,17:30,19:00
Calle  María Teresa Sáenz de Heredia,María Teresa Sáenz de Heredia,PVMMaríaTeresaSáenzdeHeredia44,44,15,CIUDAD LINEAL,40.4255882,-3.650847751,VIERNES,17:30,19:00
Calle  Monforte de Lemos,Monforte de Lemos,PVMMonfortedeLemos38,38,8,FUENCARRAL,40.47842163,-3.709446437,VIERNES,17:30,19:00
Calle  Santa Petronila,Santa Petronila,PVMSantaPetronila,,17,VILLAVERDE,40.35071212,-3.692274736,VIERNES,17:30,19:00
Avenida  El Ferrol,El Ferrol,PVMElFerrol6,6,8,FUENCARRAL,40.47454833,-3.703932363,VIERNES,19:15,20:45
Calle  Coníferas,Coníferas,PVMConíferas10,10,12,USERA,40.36694595,-3.694602542,VIERNES,19:15,20:45
Calle  Laguna Rodrigo,Laguna Rodrigo,PVMLagunaRodrigo7,7,17,VILLAVERDE,40.35161857,-3.7063763,VIERNES,19:15,20:45
Calle  Tacona,Tacona,PVMTacona1,1,14,MORATALAZ,40.3964446,-3.641144577,VIERNES,19:15,20:45
Avenida  Institución Libre de Enseñanza,Institución Libre de Enseñanza,PVMInstituciónLibredeEnseñanza158,158,15,CIUDAD LINEAL,40.42501632,-3.629068666,VIERNES,19:15,20:45
Paseo  Ermita del Santo,Ermita del Santo,PVMErmitadelSanto39,39,10,LATINA,40.40655438,-3.724384145,VIERNES,19:15,20:45
Avenida  Osa Mayor,Osa Mayor,PVMOsaMayor23,23,9,MONCLOA-ARAVACA,40.4596153,-3.778909594,SABADO,7:00,8:30
Calle  Tampico,Tampico,PVMTampico79,79,20,SAN BLAS-CANILLEJAS,40.44475344,-3.635651261,SABADO,7:00,8:30
Plaza  Chamberí,Chamberí,PVMChamberí4,4,7,CHAMBERI,40.43306165,-3.697121262,SABADO,7:00,8:30
Avenida  Prunos,Prunos,PVMPrunos44,44,16,HORTALEZA,40.45255663,-3.622087825,SABADO,8:45,10:15
Calle  Antonio Machado,Antonio Machado,PVMAntonioMachado12,12,9,MONCLOA-ARAVACA,40.46598087,-3.71921181,SABADO,8:45,10:15
Calle  Boltaña,Boltaña,PVMBoltaña20,20,20,SAN BLAS-CANILLEJAS,40.44479404,-3.613450944,SABADO,8:45,10:15
Calle  Santa Engracia,Santa Engracia,PVMSantaEngracia126,126,7,CHAMBERI,40.44157,-3.701391,SABADO,8:45,10:15
Plaza  Legazpi,Legazpi,PVMLegazpi5,5,2,ARGANZUELA,40.3907741,-3.694808258,SABADO,8:45,10:15
Calle  Bravo Murillo,Bravo Murillo,PVMBravoMurillo41,41,7,CHAMBERI,40.43776198,-3.705244148,SABADO,10:30,12:00
Calle  Cuevas de la Almanzora,Cuevas de la Almanzora,PVMCuevasdelaAlmanzora18,18,16,HORTALEZA,40.47667771,-3.659140563,SABADO,10:30,12:00
Paseo  Santa María de la Cabeza,Santa María de la Cabeza,PVMSantaMaríadelaCabeza64,64,2,ARGANZUELA,40.40051605,-3.699861192,SABADO,10:30,12:00
Plaza  Mayor,Mayor,PVMMayor29-30,29-30,1,CENTRO,40.41574723,-3.706902053,SABADO,10:30,12:00
Avenida  Francisco Pi y Margall,Francisco Pi y Margall,PVMFranciscoPiyMargall72,72,16,HORTALEZA,40.49074059,-3.659086913,SABADO,12:15,13:45
Avenida  San Diego,San Diego,PVMSanDiego111,111,13,PUENTE VALLECAS,40.38265243,-3.664107653,SABADO,12:15,13:45
Paseo  Delicias,Delicias,PVMDelicias24,24,2,ARGANZUELA,40.4054452,-3.693616009,SABADO,12:15,13:45
Paseo  San Francisco de Sales,San Francisco de Sales,PVMSanFranciscodeSales36,36,7,CHAMBERI,40.44209537,-3.713196475,SABADO,12:15,13:45
Calle  Bravo Murillo,Bravo Murillo,PVMBravoMurillo92,92,7,CHAMBERI,40.4458567,-3.703788592,SABADO,14:00,15:30
Calle  La Mancha,La Mancha,PVMLaMancha2,2,13,PUENTE VALLECAS,40.38148977,-3.669341034,SABADO,14:00,15:30
Avenida  Niceto Alcalá Zamora,Niceto Alcalá Zamora,PVMNicetoAlcaláZamora78,78,16,HORTALEZA,40.4965535,-3.652395738,SABADO,14:00,15:30
Paseo  Delicias,Delicias,PVMDelicias122,122,2,ARGANZUELA,40.39487516,-3.694841268,SABADO,14:00,15:30
Plaza  Cebada,Cebada,PVMCebada5-7,5-7,1,CENTRO,40.41141936,-3.709642084,SABADO,14:00,15:30
Avenida  Pablo Neruda,Pablo Neruda,PVMPabloNeruda89,89,13,PUENTE VALLECAS,40.38115207,-3.660117241,SABADO,15:45,17:15
Calle  Bravo Murillo,Bravo Murillo,PVMBravoMurillo8,8,7,CHAMBERI,40.43439746,-3.704244286,SABADO,15:45,17:15
Paseo  Chopera,Chopera,PVMChopera12,12,2,ARGANZUELA,40.39317945,-3.698067172,SABADO,15:45,17:15
Calle  Arapiles,Arapiles,PVMArapiles21,21,7,CHAMBERI,40.43279411,-3.708519655,SABADO,17:30,19:00
Avenida  Rafael Alberti,Rafael Alberti,PVMRafaelAlberti34,34,13,PUENTE VALLECAS,40.3847149,-3.642651544,SABADO,17:30,19:00
Camino  Viejo de Burgos,Camino  Viejo de Burgos,PVMCaminoViejodeBurgos24,24,16,HORTALEZA,40.48188344,-3.63135024,SABADO,17:30,19:00
Paseo  Juan Antonio Vallejo-Nájera Botas,Juan Antonio Vallejo-Nájera Botas,PVMJuanAntonioVallejo-NájeraBotas,,2,ARGANZUELA,40.40285996,-3.711376364,SABADO,17:30,19:00
Avenida  Virgen del Carmen,Virgen del Carmen,PVMVirgendelCarmen84,84,16,HORTALEZA,40.47550565,-3.647589094,SABADO,19:15,20:45
Calle  Fernández de los Ríos,Fernández de los Ríos,PVMFernándezdelosRíos62,62,7,CHAMBERI,40.43534781,-3.711832755,SABADO,19:15,20:45
Plaza  Francisco Morano,Francisco Morano,PVMFranciscoMorano3,3,2,ARGANZUELA,40.4046986,-3.716273022,SABADO,19:15,20:45
Calle  Federico Mompou,Federico Mompou,PVMFedericoMompou4,4,8,FUENCARRAL,40.5108133512341,-3.67888605764082,MARTES,7:00,8:30
Ronda  Ronda de la Comunicación,Ronda  Ronda de la Comunicación,PVMRondaRondadelaComunicación2,2,8,FUENCARRAL,40.5138979304183,-3.66429606720972,MARTES,8:45,10:15
Calle  Abetal,Abetal,PVMAbetal3-5,3-5,8,FUENCARRAL,40.5007244095852,-3.66259517914358,MARTES,10:30,12:00
Avenida  Avda. Monforte de Lemos,Avda. Monforte de Lemos,PVMAvda.MonfortedeLemos1,1,8,FUENCARRAL,40.4750302638568,-3.68770369754848,MARTES,12:15,13:45
calle  Mauricio Legendre,calle  Mauricio Legendre,PVMcalleMauricioLegendre5,5,5,CHAMARTIN,40.4692363293796,-3.68696147683308,MARTES,14:00,15:30
calle  Orense,calle  Orense,PVMcalleOrense2,2,6,TETUAN,40.4468732750801,-3.52989542448213,MARTES,15:45,17:15
calle  Agustín de Betancourt,calle  Agustín de Betancourt,PVMcalleAgustíndeBetancourt1,1,7,CHAMBERI,40.4420748012669,-3.6950649134365,MARTES,17:30,19:00
calle  Montalbán,calle  Montalbán,PVMcalleMontalbán7-9,7-9,3,RETIRO,40.4182126836302,-3.69014800469709,MARTES,8:45,10:15
calle  Méndez Álvaro,calle  Méndez Álvaro,PVMcalleMéndezÁlvaro1,1,2,ARGANZUELA,40.4067688513445,-3.69231672404241,MARTES,10:30,12:00
calle  Cerro de la Plata,calle  Cerro de la Plata,PVMcalleCerrodelaPlata3,3,2,ARGANZUELA,40.4002327303121,-3.6746135863849,MARTES,12:15,13:45
calle  Méndez Álvaro,calle  Méndez Álvaro,PVMcalleMéndezÁlvaro44,44,2,ARGANZUELA,40.3985229910894,-3.68386081508759,JUEVES,7:00,8:30
calle  Bustamante,calle  Bustamante,PVMcalleBustamante16,16,2,ARGANZUELA,40.4004601355331,-3.68826187102883,JUEVES,8:45,10:15
calle  Alcalde Sainz de Baranda,calle  Alcalde Sainz de Baranda,PVMcalleAlcaldeSainzdeBaranda92,92,4,SALAMANCA,40.4211207544295,-3.66260692996813,JUEVES,10:30,12:00
calle  Albarracín,calle  Albarracín,PVMcalleAlbarracín,,20,SAN BLAS-CANILLEJAS,40.4318305270171,-3.63041864358532,JUEVES,12:15,13:45
calle  Ribera del Sena,calle  Ribera del Sena,PVMcalleRiberadelSena21,21,21,BARAJAS,40.4619759490284,-3.61767209392875,JUEVES,14:00,15:30
calle  Abelias,calle  Abelias,PVMcalleAbelias1,1,16,HORTALEZA,40.4523108158298,-3.62479689737055,JUEVES,15:45,17:15
Paseo  Alameda de Osuna,Alameda de Osuna,PVMAlamedadeOsuna50,50,21,BARAJAS,40.4546115269435,-3.59774492487677,JUEVES,17:30,19:00
Avenida  Logroño,Logroño,PVMLogroño160-162,160-162,21,BARAJAS,40.4749331667577,-3.58202653065271,JUEVES,19:15,20:45
Paseo  Florida,Florida,PVMFlorida12,12,9,MONCLOA-ARAVACA,40.4228444553487,-3.72275349491946,SÁBADO,19:15,20:45
Avenida  Principal,Principal,PVMPrincipal4-6,4-6,9,MONCLOA-ARAVACA,40.4124795455108,-3.7390871636404,LUNES,12:15,13:45
