CODIGO;CODIGO_CORTO;ESTACION;DIRECCION;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD;COD_TIPO;NOM_TIPO;NO2;SO2;CO;PM10;PM2_5;O3;BTX;HC;COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;Fecha alta;COORDENADA_X_ETRS89;COORDENADA_Y_ETRS89;LONGITUD;LATITUD
28079004;4;Pza. de España;Plaza de España;"3°42'43.91""O";"40°25'25.98""N";637;UT;Urbana tráfico;X;X;X;;;;;;273600;PLAZA;DE;ESPAÑA;01/12/1998;439579,3291;4475049,263;-3.7122567;40.4238823
28079008;8;Escuelas Aguirre;Entre C/ Alcalá y C/ O’ Donell ;"3°40'56.22""O";"40°25'17.63""N";672;UT;Urbana tráfico;X;X;X;X;X;X;X;X;18900;CALLE;DE;ALCALA;01/12/1998;442117,2366;4474770,696;-3.6823158;40.4215533
28079011;11;Avda. Ramón y Cajal;Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara;"3°40'38.50""O";"40°27'5.29""N";708;UT;Urbana tráfico;X;;;;;;X;;610450;CALLE;DEL;PRINCIPE DE VERGARA;01/12/1998;442564,0457;4478088,595;-3.6773491;40.4514734
28079016;16;Arturo Soria;C/ Arturo Soria  esq. C/  Vizconde de los Asilos ;"3°38'21.17""O";"40°26'24.20""N";695;UF;Urbana fondo;X;;X;;;X;;;798700;CALLE;DEL;VIZCONDE DE LOS ASILOS;01/12/1998;445786,1729;4476796,019;-3.6392422;40.4400457
28079017;17;Villaverde;C/. Juan Peñalver;"3°42'47.89""O";"40°20'49.74""N";601;UF;Urbana fondo;X;X;;;;X;;;417200;CALLE;DE;JUAN PEÑALVER;01/12/1998;439420,7015;4466532,455;-3.7133167;40.347147
28079018;18;Farolillo;Calle Farolillo - C/Ervigio;"3°43'54.61""O";"40°23'41.22""N";632;UF;Urbana fondo;X;X;X;X;;X;X;;1903;CALLE;DEL;FAROLILLO;31/03/2001;437891,6961;4471832,769;-3.7318356;40.3947825
28079024;24;Casa de Campo;Casa de Campo  (Terminal del Teleférico);"3°44'50.44""O";"40°25'9.69""N";646;S;Suburbana;X;X;X;X;X;X;X;X;905219;CARRETERA;DEL;TELEFERICO;01/12/1998;436598,5637;4474571,618;-3.7473445;40.4193577
28079027;27;Barajas Pueblo;C/. Júpiter, 21 (Barajas) ;"3°34'48.10""O";"40°28'36.93""N";620;UF;Urbana fondo;X;;;;;X;;;425700;CALLE;DE;JUPITER;31/12/2002;450835,2026;4480854,172;-3.5800258;40.4769179
28079035;35;Pza. del Carmen;Plaza del Carmen esq. Tres Cruces. ;"3°42'11.40""O";"40°25'9.15""N";660;UF;Urbana fondo;X;X;X;;;X;;;145800;PLAZA;DEL;CARMEN;01/11/1999;440346,3619;4474524,357;-3.7031662;40.4192091
28079036;36;Moratalaz;Avd. Moratalaz  esq. Camino de los Vinateros;"3°38'43.02""O";"40°24'28.64""N";671;UT;Urbana tráfico;X;X;X;X;;;;;522000;AVENIDA;DE;MORATALAZ;01/12/1998;445245,513;4473237,349;-3.6453104;40.4079517
28079038;38;Cuatro Caminos;Avda. Pablo Iglesias esq. C/ Marqués de Lema;"3°42'25.64""O";"40°26'43.97""N";699;UT;Urbana tráfico;X;X;;X;X;;X;;554550;AVENIDA;DE;PABLO IGLESIAS;01/11/1998;440033,4632;4477450,211;-3.7071303;40.4455439
28079039;39;Barrio del Pilar;Avd. Betanzos esq. C/  Monforte de Lemos ;"3°42'41.53""O";"40°28'41.64""N";676;UT;Urbana tráfico;X;;X;;;X;;;514425;AVENIDA;DE;MONFORTE DE LEMOS;01/05/1998;439689,0496;4481081,619;-3.7115364;40.4782322
28079040;40;Vallecas;C/ Arroyo del Olivar  esq. C/  Río Grande. ;"3°39'5.50""O";"40°23'17.33""N";677;UF;Urbana fondo;X;X;;X;;;;;75500;CALLE;DEL;ARROYO DEL OLIVAR;30/09/1999;444701,6871;4471043,01;-3.6515286;40.3881478
28079047;47;Mendez Alvaro;C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro;"3°41'12.57""O";"40°23'53.17""N";600;UF;Urbana fondo;X;;;X;X;;;;414800;CALLE;DE;JUAN DE MARIANA;21/12/2009;441715,4303;4472170,249;-3.6868138;40.3980991
28079048;48;Castellana;C/ Jose Gutierrez Abascal;"3°41'25.34""O";"40°26'23.61""N";680;UT;Urbana tráfico;X;;;X;X;;;;401400;CALLE;DE;JOSE GUTIERREZ ABASCAL;01/02/2010;441449,6341;4476811,42;-3.6903729;40.4398904
28079049;49;Parque del Retiro;Paseo Venezuela- Casa de Vacas;3º 40' 57''O;40º 24' 52''N;662;UF;Urbana fondo;X;;;;;X;;;905011;PASEO;DE;VENEZUELA;01/01/2010;442095,52;4473981,74;-3.6824999999999900;40.41444444444440
28079050;50;Plaza Castilla;Plaza Castilla (Canal);"3°41'19.48""O";"40°27'56.10""N";728;UT;Urbana tráfico;X;;;X;X;;;;154500;PLAZA;DE;CASTILLA;01/02/2010;441609,9474;4479662,346;-3.6887449;40.4655841
28079054;54;Ensanche de Vallecas;Avda La Gavia / Avda. Las Suertes;"3°36'43.70""O";"40°22'22.84""N";629;UF;Urbana fondo;X;;;;;X;;;31000516;AVENIDA;DE;LA GAVIA;11/12/2009;448033,2263;4469339,044;-3.6121394;40.3730118
28079055;55;Urb. Embajada;C/ Riaño (Barajas) ;"3°34'50.03""O";"40°27'44.51""N";619;UF;Urbana fondo;X;;;X;;;X;X;639250;CALLE;DE;RIAÑO;20/01/2010;450778,8839;4479238,863;-3.5805649;40.4623628
28079056;56;Pza. Elíptica; Pza. Elíptica - Avda. Oporto;"3°43'7.54""O";"40°23'6.10""N";605;UT;Urbana tráfico;X;;X;X;X;X;;;293200;PLAZA;;ELIPTICA;18/01/2010;438991,9161;4470741,548;-3.7187679;40.3850336
28079057;57;Sanchinarro;C/ Princesa de Eboli esq C/ Maria Tudor;"3°39'37.86""O";"40°29'39.12""N";700;UF;Urbana fondo;X;X;X;X;;;;;31000002;CALLE;DE LA;PRINCESA DE EBOLI;23/11/2009;444026,808;4482820,581;-3.6605173;40.4942012
28079058;58;El Pardo;Avda. La Guardia;"3°46'28.62""O";"40°31'4.97""N";612;S;Suburbana;X;;;;;X;;;348500;AVENIDA;DE LA;GUARDIA;01/12/2009;434381,6;4485548,7;-3.7746101;40.5180701
28079059;59;Juan Carlos I;Parque Juan Carlos I (frente oficinas mantenimiento);"3º 36' 33""O";40º 27' 55''N;660;S;Suburbana;X;;;;;X;;;1111;;;;14/12/2009;447744,4666;4479077,678;-3.6163407;40.4607255
28079060;60;Tres Olivos;Plaza Tres Olivos ;"3°41'23.03""O";"40°30'1.97""N";715;UF;Urbana fondo;X;;;X;;X;;;1427;PLAZA;DE LOS;TRES OLIVOS;08/02/2010;441556,7005;4483543,994;-3.6897308;40.5005477
