dc:identifier,dc:modified,ayto:PuntoMuestreo,ayto:Fecha,ayto:Olor,ayto:Sabor,ayto:Turbidez,ayto:Color,ayto:Conductividad,ayto:pH,ayto:Oxidabilidad,ayto:CloroLibre,ayto:BacteriasColiformes,ayto:eColi,ayto:BacteriasAerobias,ayto:ClostridiumPerfringes,uri
N4-13-000017,2020-09-26T22:16:11.376Z,"PALACIO DE LA MAGDALENA\, ESTACIÃ“N DE MUESTREO NÂº 2",2013-01-02T00:00:00Z,0.0,0.0,0.09, < 5,532.0,7.84,0.5,0.53,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000017.csv
N4-13-000020,2020-09-26T22:16:11.376Z,"PEÃ‘ACASTILLO\, ESTACIÃ“N DE MUESTREO NÂº 3",2013-01-02T00:00:00Z,0.0,0.0,0.06, < 5,521.0,7.81,0.6,0.59,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000020.csv
N4-13-000021,2020-09-26T22:16:11.376Z,"PEÃ‘ACASTILLO\, ESTACIÃ“N DE MUESTREO NÂº 4",2013-01-02T00:00:00Z,0.0,0.0,0.1, < 5,486.0,7.88,0.5,0.48,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000021.csv
N4-13-000023,2020-09-26T22:16:11.376Z,MALIAÃ‘O,2013-01-02T00:00:00Z,0.0,0.0,0.08, < 5,555.0,7.72,0.5,0.84,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000023.csv
N4-13-000143,2020-09-26T22:16:11.375Z,SALIDA PLANTA SANTANDER,2013-01-11T00:00:00Z,0.0,0.0,0.06, < 5,447.0,7.63,0.0,0.84,,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000143.csv
N4-13-000151,2020-09-26T22:16:11.375Z,GRIFO VIRTUAL,2013-01-11T00:00:00Z,0.0,0.0,0.14, < 5,416.0,7.77,0.5,0.36,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000151.csv
N4-13-000142,2020-09-26T22:16:11.375Z,SALIDA DE LA ETAP,2013-01-11T00:00:00Z,0.0,0.0,0.11, < 5,447.0,7.61,0.5,0.81,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000142.csv
N4-13-000144,2020-09-26T22:16:11.375Z,FUENTE FRENTE CORMORÃ�N,2013-01-11T00:00:00Z,0.0,0.0,0.16, < 5,413.0,7.85,0.5,0.52,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000144.csv
N4-13-000146,2020-09-26T22:16:11.375Z,FUENTE PARQUE MARIA BLANCHARD,2013-01-11T00:00:00Z,0.0,0.0,0.17, < 5,442.0,7.79,0.6,0.6,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000146.csv
N4-13-000150,2020-09-26T22:16:11.375Z,SOTO DE LA MARINA,2013-01-11T00:00:00Z,0.0,0.0,0.13, < 5,437.0,7.78,0.5,0.62,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000150.csv
N4-13-000130,2020-09-26T22:16:11.375Z,"SAN ROMÃ�N\, ESTACIÃ“N DE MUESTREO NÂº 1",2013-01-10T00:00:00Z,0.0,0.0,0.13, < 5,425.0,7.76,0.4,0.59,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000130.csv
N4-13-000127,2020-09-26T22:16:11.375Z,"PALACIO DE LA MAGDALENA\, ESTACIÃ“N DE MUESTREO NÂº 2",2013-01-10T00:00:00Z,0.0,0.0,0.15, < 5,415.0,7.71,0.5,0.45,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000127.csv
N4-13-000131,2020-09-26T22:16:11.375Z,"PEÃ‘ACASTILLO\, ESTACIÃ“N DE MUESTREO NÂº 4",2013-01-10T00:00:00Z,0.0,0.0,0.19, < 5,432.0,7.85,0.5,0.43,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000131.csv
N4-13-000129,2020-09-26T22:16:11.375Z,"CUETO\, ESTACIÃ“N DE MUESTREO NÂº 6",2013-01-10T00:00:00Z,0.0,0.0,0.18, < 5,417.0,7.79,0.0,0.6,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000129.csv
N4-13-000120,2020-09-26T22:16:11.375Z,ETAP LLEGADA,2013-01-10T00:00:00Z,0.0,0.0,0.44,5,435.0,7.8,0.6,0.0,230,50.0,100.0,9.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000120.csv
N4-13-000126,2020-09-26T22:16:11.375Z,SALIDA PLANTA SANTANDER,2013-01-10T00:00:00Z,0.0,0.0,0.11, < 5,432.0,7.67,0.0,0.73,,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000126.csv
N4-13-000132,2020-09-26T22:16:11.375Z,"CUENCO NÂº 1\, DEPÃ“SITO DE AVELLANO",2013-01-10T00:00:00Z,0.0,0.0,0.2, < 5,420.0,7.71,0.5,0.55,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000132.csv
N4-13-000136,2020-09-26T22:16:11.375Z,GRIFO VIRTUAL,2013-01-10T00:00:00Z,0.0,0.0,0.19, < 5,440.0,7.8,0.5,0.49,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000136.csv
N4-13-000125,2020-09-26T22:16:11.375Z,SALIDA DE LA ETAP,2013-01-10T00:00:00Z,0.0,0.0,0.16, < 5,432.0,7.69,0.4,0.9,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000125.csv
N4-13-000128,2020-09-26T22:16:11.375Z,FUENTE PARQUE MARIA BLANCHARD,2013-01-10T00:00:00Z,0.0,0.0,0.14, < 5,427.0,7.74,0.5,0.65,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000128.csv
N4-13-000135,2020-09-26T22:16:11.375Z,BOO DE GUARNIZO (FARMACIA),2013-01-10T00:00:00Z,0.0,0.0,0.15, < 5,430.0,7.68,0.5,0.76,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000135.csv
N4-13-000134,2020-09-26T22:16:11.375Z,CACICEDO (GOFRIS),2013-01-10T00:00:00Z,0.0,0.0,0.16, < 5,432.0,7.69,0.4,0.9,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000134.csv
N4-13-000133,2020-09-26T22:16:11.375Z,PM RED PARBAYÃ“N,2013-01-10T00:00:00Z,0.0,0.0,0.16, < 5,432.0,7.69,0.4,0.9,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000133.csv
N4-13-000114,2020-09-26T22:16:11.375Z,"SAN ROMÃ�N\, ESTACIÃ“N DE MUESTREO NÂº 1",2013-01-09T00:00:00Z,0.0,0.0,0.15, < 5,414.0,7.79,0.4,0.49,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000114.csv
N4-13-000112,2020-09-26T22:16:11.375Z,"PALACIO DE LA MAGDALENA\, ESTACIÃ“N DE MUESTREO NÂº 2",2013-01-09T00:00:00Z,0.0,0.0,0.18, < 5,412.0,7.81,0.3,0.47,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000112.csv
N4-13-000115,2020-09-26T22:16:11.375Z,"PEÃ‘ACASTILLO\, ESTACIÃ“N DE MUESTREO NÂº 3",2013-01-09T00:00:00Z,0.0,0.0,0.14, < 5,415.0,7.77,0.4,0.57,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000115.csv
N4-13-000116,2020-09-26T22:16:11.375Z,"PEÃ‘ACASTILLO\, ESTACIÃ“N DE MUESTREO NÂº 4",2013-01-09T00:00:00Z,0.0,0.0,0.23, < 5,443.0,7.89,0.4,0.41,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000116.csv
N4-13-000118,2020-09-26T22:16:11.375Z,MALIAÃ‘O,2013-01-09T00:00:00Z,0.0,0.0,0.16, < 5,423.0,7.68,0.3,0.95,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000118.csv
N4-13-000117,2020-09-26T22:16:11.375Z,MURIEDAS,2013-01-09T00:00:00Z,0.0,0.0,0.16, < 5,423.0,7.68,0.3,0.95,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000117.csv
N4-13-000113,2020-09-26T22:16:11.375Z,"CUETO\, ESTACIÃ“N DE MUESTREO NÂº 6",2013-01-09T00:00:00Z,0.0,0.0,0.17, < 5,415.0,7.83,0.4,0.52,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000113.csv
N4-13-000111,2020-09-26T22:16:11.375Z,"BÂº PESQUERO\, ESTACIÃ“N DE MUESTREO NÂº 5",2013-01-09T00:00:00Z,0.0,0.0,0.18, < 5,410.0,7.85,0.4,0.49,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000111.csv
N4-13-000103,2020-09-26T22:16:11.375Z,ETAP LLEGADA,2013-01-09T00:00:00Z,0.0,0.0,0.48,5,425.0,7.6,0.7,0.0,220,110.0,130.0,2.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000103.csv
N4-13-000109,2020-09-26T22:16:11.375Z,SALIDA PLANTA SANTANDER,2013-01-09T00:00:00Z,0.0,0.0,0.13, < 5,418.0,7.7,0.0,0.93,,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000109.csv
N4-13-000119,2020-09-26T22:16:11.375Z,GRIFO VIRTUAL,2013-01-09T00:00:00Z,0.0,0.0,0.19, < 5,413.0,7.82,0.5,0.45,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000119.csv
N4-13-000108,2020-09-26T22:16:11.375Z,SALIDA DE LA ETAP,2013-01-09T00:00:00Z,0.0,0.0,0.16, < 5,423.0,7.68,0.3,0.95,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000108.csv
N4-13-000110,2020-09-26T22:16:11.375Z,FUENTE FRENTE CORMORÃ�N,2013-01-09T00:00:00Z,0.0,0.0,0.19, < 5,415.0,8.01,0.4,0.43,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000110.csv
N4-13-000090,2020-09-26T22:16:11.375Z,"SAN ROMÃ�N\, ESTACIÃ“N DE MUESTREO NÂº 1",2013-01-08T00:00:00Z,0.0,0.0,0.21, < 5,394.0,7.78,0.5,0.41,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000090.csv
N4-13-000086,2020-09-26T22:16:11.375Z,"PALACIO DE LA MAGDALENA\, ESTACIÃ“N DE MUESTREO NÂº 2",2013-01-08T00:00:00Z,0.0,0.0,0.21, < 5,407.0,7.71,0.5,0.46,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000086.csv
N4-13-000094,2020-09-26T22:16:11.375Z,HERRERA,2013-01-08T00:00:00Z,0.0,0.0,0.16, < 5,397.0,7.62,0.4,0.85,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000094.csv
N4-13-000089,2020-09-26T22:16:11.375Z,"CUETO\, ESTACIÃ“N DE MUESTREO NÂº 6",2013-01-08T00:00:00Z,0.0,0.0,0.25, < 5,418.0,7.8,0.5,0.44,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000089.csv
N4-13-000079,2020-09-26T22:16:11.375Z,ETAP LLEGADA,2013-01-08T00:00:00Z,0.0,0.0,0.5,5,404.0,7.8,0.6,0.0,210,40.0,120.0,7.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000079.csv
N4-13-000085,2020-09-26T22:16:11.375Z,SALIDA PLANTA SANTANDER,2013-01-08T00:00:00Z,0.0,0.0,0.15, < 5,395.0,7.66,0.0,0.76,,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000085.csv
N4-13-000093,2020-09-26T22:16:11.375Z,"CUENCO NÂº 1\, DEPÃ“SITO DE MAC-MAHÃ“N",2013-01-08T00:00:00Z,0.0,0.0,0.23, < 5,451.0,7.73,0.7,0.37,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000093.csv
N4-13-000095,2020-09-26T22:16:11.375Z,GRIFO VIRTUAL,2013-01-08T00:00:00Z,0.0,0.0,0.21, < 5,417.0,7.78,0.7,0.4,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000095.csv
N4-13-000101,2020-09-26T22:16:11.375Z,SALIDA DE LA ETAP,2013-01-08T00:00:00Z,0.0,0.0,0.14, < 5,413.0,7.64,0.0,0.83,,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000101.csv
N4-13-000084,2020-09-26T22:16:11.375Z,SALIDA DE LA ETAP,2013-01-08T00:00:00Z,0.0,0.0,0.16, < 5,397.0,7.62,0.4,0.85,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000084.csv
N4-13-000087,2020-09-26T22:16:11.375Z,FUENTE PARQUE MARIA BLANCHARD,2013-01-08T00:00:00Z,0.0,0.0,0.2, < 5,393.0,7.73,0.5,0.6,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000087.csv
N4-13-000221,2020-09-26T22:16:11.374Z,FUENTE FRENTE CORMORÃ�N,2013-01-16T00:00:00Z,0.0,0.0,0.23, < 5,427.0,7.73,0.6,0.43,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000221.csv
N4-13-000206,2020-09-26T22:16:11.374Z,SALIDA DEL DEPÃ“SITO DE CUETO,2013-01-15T00:00:00Z,0.0,0.0,0.84, < 5,400.0,7.67,0.3,0.47,0,0.0,0.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000206.csv
N4-13-000201,2020-09-26T22:16:11.374Z,"SAN ROMÃ�N\, ESTACIÃ“N DE MUESTREO NÂº 1",2013-01-15T00:00:00Z,0.0,0.0,0.18, < 5,429.0,7.79,0.3,0.47,0,0.0,1.0,0.0,http://datos.santander.es/api/datos/calidad_agua/n4-13-000201.csv
